geo,map
http://www.wikidata.org/entity/Q1008474,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis244.map
http://www.wikidata.org/entity/Q1008386,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis249.map
http://www.wikidata.org/entity/Q1008033,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis260.map
http://www.wikidata.org/entity/Q1008157,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis261.map
http://www.wikidata.org/entity/Q1008267,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis267.map
http://www.wikidata.org/entity/Q1008391,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis275.map
http://www.wikidata.org/entity/Q1008553,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis289.map
http://www.wikidata.org/entity/Q1008010,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis293.map
http://www.wikidata.org/entity/Q1008612,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis298.map
http://www.wikidata.org/entity/Q1008511,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis34.map
http://www.wikidata.org/entity/Q1008273,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis51.map
http://www.wikidata.org/entity/Q1008672,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis57.map
http://www.wikidata.org/entity/Q1008484,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis58.map
http://www.wikidata.org/entity/Q1008526,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis6.map
http://www.wikidata.org/entity/Q1008019,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis60.map
http://www.wikidata.org/entity/Q1007920,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis87.map
http://www.wikidata.org/entity/Q1008269,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis89.map
http://www.wikidata.org/entity/Q1008015,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis96.map
http://www.wikidata.org/entity/Q1080673,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Plze%C5%88-m%C4%9Bsto.map
http://www.wikidata.org/entity/Q2072859,http://commons.wikimedia.org/data/main/Data:IsraelHighways/2.map
http://www.wikidata.org/entity/Q2628683,http://commons.wikimedia.org/data/main/Data:Rky/1518_Svartholman_linnoitus.map
http://www.wikidata.org/entity/Q4250273,http://commons.wikimedia.org/data/main/Data:Rky/1667_Sein%C3%A4joen_Aalto-keskus.map
http://www.wikidata.org/entity/Q5400520,http://commons.wikimedia.org/data/main/Data:Rky/38_Vuojoen_kartano.map
http://www.wikidata.org/entity/Q6543598,http://commons.wikimedia.org/data/main/Data:Lidcombe+railway+station.map
http://www.wikidata.org/entity/Q7053570,http://commons.wikimedia.org/data/main/Data:North-West+T-way.map
http://www.wikidata.org/entity/Q7053570,http://commons.wikimedia.org/data/main/Data:North-West+T-way+stops.map
http://www.wikidata.org/entity/Q6658678,http://commons.wikimedia.org/data/main/Data:Parramatta+bus+interchange.map
http://www.wikidata.org/entity/Q7053570,http://commons.wikimedia.org/data/main/Data:Parramatta+bus+interchange.map
http://www.wikidata.org/entity/Q7139752,http://commons.wikimedia.org/data/main/Data:Parramatta+bus+interchange.map
http://www.wikidata.org/entity/Q7427195,http://commons.wikimedia.org/data/main/Data:Lidcombe+railway+station+(Olympic+Park)+marker.map
http://www.wikidata.org/entity/Q7427195,http://commons.wikimedia.org/data/main/Data:Olympic+Park+railway+station+marker.map
http://www.wikidata.org/entity/Q4663585,http://commons.wikimedia.org/data/main/Data:T7+Olympic+Park+Line.map
http://www.wikidata.org/entity/Q7427195,http://commons.wikimedia.org/data/main/Data:T7+Olympic+Park+Line.map
http://www.wikidata.org/entity/Q11887930,http://commons.wikimedia.org/data/main/Data:Rky/2230_Pielisen_museo_ja_kulttuuriymp%C3%A4rist%C3%B6.map
http://www.wikidata.org/entity/Q23870383,http://commons.wikimedia.org/data/main/Data:Rky/1529_Ahlaisten_kirkonkyl%C3%A4.map
http://www.wikidata.org/entity/Q29974208,http://commons.wikimedia.org/data/main/Data:Rky/1292_Oulujoen_ja_Sotkamon_reitin_voimalaitokset.map
http://www.wikidata.org/entity/Q29974193,http://commons.wikimedia.org/data/main/Data:Rky/1881_Forssan_teollisuusyhdyskunta.map
http://www.wikidata.org/entity/Q29974198,http://commons.wikimedia.org/data/main/Data:Rky/4095_Aurajokisuun_satama-,_telakka-_ja_teollisuusalue.map
http://www.wikidata.org/entity/Q29974201,http://commons.wikimedia.org/data/main/Data:Rky/5021_Tammerkosken_teollisuusmaisema.map
http://www.wikidata.org/entity/Q3389,http://commons.wikimedia.org/data/main/Data:France/Departement/29.map
http://www.wikidata.org/entity/Q637425,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Hodon%C3%ADn.map
http://www.wikidata.org/entity/Q643400,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Rokycany.map
http://www.wikidata.org/entity/Q838288,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Jesen%C3%ADk.map
http://www.wikidata.org/entity/Q838292,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Louny.map
http://www.wikidata.org/entity/Q838324,http://commons.wikimedia.org/data/main/Data:Czech+Republic/P%C5%99erov.map
http://www.wikidata.org/entity/Q847318,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Kol%C3%ADn.map
http://www.wikidata.org/entity/Q852511,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Most.map
http://www.wikidata.org/entity/Q852457,http://commons.wikimedia.org/data/main/Data:Czech+Republic/P%C5%99%C3%ADbram.map
http://www.wikidata.org/entity/Q853969,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Znojmo.map
http://www.wikidata.org/entity/Q1008166,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis1.map
http://www.wikidata.org/entity/Q1008282,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis10.map
http://www.wikidata.org/entity/Q1008112,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis107.map
http://www.wikidata.org/entity/Q1008719,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis113.map
http://www.wikidata.org/entity/Q1008592,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis12.map
http://www.wikidata.org/entity/Q1008013,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis126.map
http://www.wikidata.org/entity/Q1008630,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis128.map
http://www.wikidata.org/entity/Q1008444,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis129.map
http://www.wikidata.org/entity/Q1008228,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis138.map
http://www.wikidata.org/entity/Q1008255,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis145.map
http://www.wikidata.org/entity/Q1008473,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis151.map
http://www.wikidata.org/entity/Q1007956,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis156.map
http://www.wikidata.org/entity/Q1008093,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis159.map
http://www.wikidata.org/entity/Q1008691,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis167.map
http://www.wikidata.org/entity/Q1008308,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis168.map
http://www.wikidata.org/entity/Q1008726,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis179.map
http://www.wikidata.org/entity/Q1008253,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis180.map
http://www.wikidata.org/entity/Q1008074,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis186.map
http://www.wikidata.org/entity/Q1008467,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis197.map
http://www.wikidata.org/entity/Q1008462,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis208.map
http://www.wikidata.org/entity/Q1008518,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis210.map
http://www.wikidata.org/entity/Q1008189,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis215.map
http://www.wikidata.org/entity/Q1008291,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis216.map
http://www.wikidata.org/entity/Q1008446,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis217.map
